name_with_owner,name,date,release_date,release_name,release_url
apache/echarts-doc,4.8.0,2020-05-25 06:36:10+00:00,2020-05-25 06:36:10+00:00,4.8.0,https://github.com/apache/echarts-doc/releases/tag/4.8.0
apache/echarts-theme-builder,,,,,
apache/incubator-nemo,nemo-project-0.3rc1,2020-12-10 14:14:11+00:00,2020-12-10 14:14:21+00:00,Apache Nemo (incubating) v0.3,https://github.com/apache/incubator-nemo/releases/tag/nemo-project-0.3rc1
apache/echarts-www,,,,,
apache/activemq-cpp,activemq-cpp-3.9.5,2019-01-25 20:47:04+00:00,,,
apache/flink-statefun,statefun-sdk-go/v3.2.0,,,,
apache/commons-compress,rel/1.21,,,,
apache/maven-wrapper,maven-wrapper-parent-3.1.0,2021-12-13 20:56:33+00:00,,,
apache/incubator-annotator,v0.2.0,2021-07-14 21:25:58+00:00,2020-07-08 02:15:24+00:00,Apache Annotator (incubating) v0.1.0,https://github.com/apache/incubator-annotator/releases/tag/v0.1.0
apache/incubator-wayang,wayang-0.6.0,2021-12-01 19:31:35+00:00,,,
apache/gobblin,release-0.16.0-rc0,2021-08-12 02:13:24+00:00,2017-07-20 16:14:45+00:00,0.11.0,https://github.com/apache/gobblin/releases/tag/gobblin_0.11.0
apache/cordova,,,,,
apache/bval,2.0.5,2020-10-20 08:20:46+00:00,,,
apache/camel-quarkus-examples,2.7.0,2022-02-02 14:04:46+00:00,,,
apache/infrastructure-webmod,,,,,
apache/carbondata,apache-carbondata-2.3.0-rc2,2022-01-19 11:18:56+00:00,,,
apache/trafficserver,9.1.1,2021-11-01 18:09:44+00:00,,,
apache/geode,rel/v1.14.3,2022-01-04 07:04:53+00:00,2022-01-25 19:54:10+00:00,Apache Geode 1.14.3,https://github.com/apache/geode/releases/tag/rel%2Fv1.14.3
apache/incubator-doris-manager,,,,,
apache/drill,drill-1.19.0,2021-06-05 05:50:39+00:00,2021-06-05 05:50:49+00:00,Apache Drill 1.19.0,https://github.com/apache/drill/releases/tag/drill-1.19.0
apache/dubbo-admin,0.4.0,2021-11-22 07:41:56+00:00,2021-11-22 07:41:56+00:00,0.4.0,https://github.com/apache/dubbo-admin/releases/tag/0.4.0
apache/echarts-examples,4.8.0,2020-05-25 10:35:58+00:00,2020-05-25 10:35:58+00:00,4.8.0,https://github.com/apache/echarts-examples/releases/tag/4.8.0
apache/griffin,griffin-0.6.0,2020-11-09 06:09:19+00:00,,,
apache/camel-k-examples,,,,,
apache/incubator-hivemall,v0.6.0-rc1,2019-11-28 16:43:43+00:00,,,
apache/maven-build-cache-extension,,,,,
apache/dubbo-js,4.0.1,2021-08-09 09:52:02+00:00,2021-07-21 08:33:01+00:00,Apache Dubbo-js 4.0.0 released,https://github.com/apache/dubbo-js/releases/tag/4.0.0
apache/xerces2-j,Xerces-J_2_12_0,2018-04-21 03:42:19+00:00,,,
apache/rocketmq-exporter,,,,,
apache/incubator-inlong-website,,,,,
apache/lucenenet,Lucene.Net_4_8_0_beta00015,2021-10-26 03:09:27+00:00,,,
apache/iotdb-web-workbench,,,,,
apache/incubator-teaclave,v0.3.0,2021-08-16 23:02:59+00:00,2021-08-16 23:02:59+00:00,Apache Teaclave (incubating) 0.3.0,https://github.com/apache/incubator-teaclave/releases/tag/v0.3.0
apache/dolphinscheduler-website,,,,,
apache/sqoop,release-1.4.7-rc0,2017-12-05 23:33:50+00:00,,,
apache/flink-kubernetes-operator,,,,,
apache/parquet-cpp,apache-parquet-cpp-1.5.0,2018-08-29 14:56:14+00:00,,,
